,City Name,Cloudiness (%),Country,Humidity,Lat,Lon,Tempature (F),Wind (mph)
0,Plettenberg Bay,12,ZA,94,-34.05,23.37,65.516,5.3
1,Kavieng,56,PG,100,-2.57,150.8,84.866,4.05
2,High Level,90,CA,85,58.52,-117.13,21.2,1.0
3,Port Moresby,20,PG,95,-9.47,147.16,84.56,5.52
4,Natal,75,BR,88,-5.81,-35.21,78.80000000000001,4.6
5,Hilo,75,US,64,19.71,-155.08,58.424,6.7
6,Dhuburi,24,IN,70,26.03,89.97,72.77,1.82
7,Cockburn Town,48,TC,100,21.46,-71.14,77.63,7.15
8,Carnarvon,0,ZA,27,-30.97,22.13,79.286,2.02
9,Lebu,0,ET,38,8.96,38.73,62.635999999999996,1.85
10,Avarua,20,CK,73,-21.21,-159.78,75.2,6.7
11,Tuatapere,44,NZ,76,-46.13,167.69,63.266000000000005,4.5
12,Faya,0,SA,7,18.39,42.45,68.0,2.6
13,Qaanaaq,0,GL,87,77.48,-69.36,-10.533999999999999,4.0
14,Mataura,24,NZ,53,-46.19,168.86,65.03,2.72
15,Katsuura,0,JP,66,33.93,134.5,48.2,1.5
16,Yellowknife,20,CA,67,62.45,-114.38,-27.4,2.1
17,Saint-Philippe,90,CA,85,45.36,-73.48,14.018,5.1
18,Ingham,36,AU,91,-18.65,146.16,80.006,3.1
19,Mahebourg,75,MU,62,-20.41,57.7,86.0,5.1
20,Tiksi,64,RU,34,71.64,128.87,-23.278000000000006,1.67
21,Leningradskiy,92,RU,100,69.38,178.42,2.966000000000001,8.42
22,Georgetown,40,GY,100,6.8,-58.16,71.6,1.0
23,Sukhoy Log,88,RU,87,56.9,62.03,13.315999999999999,4.77
24,Kushima,20,JP,76,31.5,131.29,52.646,2.6
25,Chenzhou,100,CN,64,25.81,113.03,58.586,1.92
26,Sabzevar,92,IR,73,36.21,57.68,50.486000000000004,1.52
27,Puerto Cabezas,92,NI,96,14.04,-83.39,78.35,5.97
28,Ust-Kuyga,68,RU,56,70.0,135.55,-32.548,2.3
29,Nemuro,75,JP,74,43.32,145.57,33.8,0.5
30,Bambous Virieux,75,MU,62,-20.34,57.76,86.0,5.1
31,Svelgen,75,NO,100,61.77,5.3,42.728,3.1
32,Punta Arenas,90,CL,70,-53.16,-70.91,42.8,6.2
33,Qaanaaq,0,GL,87,77.48,-69.36,-10.533999999999999,4.0
34,Korsakov,40,RU,100,46.63,142.78,17.6,3.0
35,Cidreira,8,BR,89,-30.17,-50.22,71.366,2.15
36,Saint George,20,GR,64,39.45,22.34,39.2,4.6
37,Waipawa,0,NZ,78,-39.94,176.59,56.66,3.77
38,Cooma,80,AU,67,-36.24,149.13,67.586,1.47
